ApplStandard,Brand,Cap,Cap (Second Drum),CEC Cold,CEC Cold (Second Drum),CEC_,CEC_ (Second Drum),Cold Prog,Cold Prog (Second Drum),Cold Wat Cons,Cold Wat Cons (Second Drum),Combination,Combination (Second Drum),Conn_Mode,Conn_Mode (Second Drum),Country,delayStartMode,delayStartMode (Second Drum),Depth,Depth (Second Drum),DetergentType,DetergentType (Second Drum),Height,Height (Second Drum),Hot Wat Cons,Hot Wat Cons (Second Drum),internal_heater,internal_heater (Second Drum),Loading,Loading (Second Drum),MachineAction,MachineAction (Second Drum),Model No,Family Name,N-Standard,New SRI,New SRI (Second Drum),New Star,New Star (Second Drum),postProgenergy,postProgenergy (Second Drum),powerConsMode,powerConsMode (Second Drum),Prog Name,Prog Name (Second Drum),Sold_in,standbyPowerUsage,standbyPowerUsage (Second Drum),Submit_ID,SubmitStatus,Test Prog Time,Test Prog Time (Second Drum),Tot Wat Cons,Tot Wat Cons (Second Drum),Type,Type (Second Drum),WEI,WEI (Second Drum),Width,Width (Second Drum),ExpDate,GrandDate,Product Class,Availability Status,Product Website,Representative Brand URL,Program Time,Program Time (Second Drum),Hot Water (L),Hot Water (L) (Second Drum),Cold Water (L),Cold Water (L) (Second Drum),Star Rating (old),Star Image Large,Star Image Large (Second Drum),Star Image Small,Star Image Small (Second Drum),Registration Number
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,SAMSUNG ELECTRONICS,7,,174,,603,,"Water Saving, Water Level 5, Cold",,66.3,,False,,Dual,,Thailand,False,,,,Non Drum,,,,0.4,,No,,Top,,Impeller,,WA70F5S2,,AS/NZS 2040.1:2005/Amdt 3:2010,2.0095196470562,,2.0,,1.7e-05,,0.51,,"Water Saving, Water Level 5, Hot & Cold",,"Australia,Fiji,New Zealand",0.51,,112791,Approved,103.18,,66.7,,Non-Drum,,0.67735,,,,2023-04-03,,Single product class,Available,,http://www.samsung.com.au,103.18,,72.0,,72.0,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png,,ACW0659
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2015,BEKO,7.5,,,0,308,0,,,,0.0,True,,Cold,,Turkey,True,,590.0,0.0,Drum,,840.0,0.0,,0.0,Yes on the warm wash program only,,Front,,,,BWD7541IG,,AS/NZS 2040.1:2005/Amdt 3:2010,4.00709144962696,0.0,4.0,0.0,8.71e-05,0.0,0.72861,0.0,"Cottons Eco, 40°C, 1400 rpm",,"Australia,New Zealand",0.69156,0.0,112937,Approved,307.0,0.0,0.0,0.0,Drum,,0.5062,0.0,600.0,0.0,2023-03-22,,Single product class,Available,http://www.beko.com.au/,,307.0,0.0,77.0,0.0,77.0,0.0,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png,,ACW0664
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2015,SAMSUNG ELECTRONICS,8.5,,106,0,750,0,"Water Saving, Water Level 10, Wash Time 27min, Rinse Times 4, Spin Time 30min, Temp. Cold",,82.3,0.0,False,,Dual,,Thailand,True,,,0.0,Non Drum,,,0.0,0.4,0.0,No,,Top,,Impeller,,WA85N6750BV,WA85N6750BW,AS/NZS 2040.1:2005/Amdt 3:2010,2.04029110182276,0.0,2.0,0.0,5e-06,0.0,0.39,0.0,"Water Saving, Water Level 10, Wash Time 27min, Rinse Times 4, Spin Time 30min, Temp. Cold & Hot",,"Australia,Fiji,New Zealand",0.39,0.0,112938,Approved,122.03,0.0,82.7,0.0,Non-Drum,,0.58558,0.0,,0.0,2023-03-14,,Single product class,Available,,http://www.samsung.com.au,122.03,0.0,82.3,0.0,82.7,0.0,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png,,ACW0662
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2015,SAMSUNG ELECTRONICS,8.5,,106,0,750,0,"Water Saving, Water Level 10, Wash Time 27min, Rinse Times 4, Spin Time 30min, Temp. Cold",,82.3,0.0,False,,Dual,,Thailand,True,,,0.0,Non Drum,,,0.0,0.4,0.0,No,,Top,,Impeller,,WA85N6750BW,WA85N6750BW,AS/NZS 2040.1:2005/Amdt 3:2010,2.04029110182276,0.0,2.0,0.0,5e-06,0.0,0.39,0.0,"Water Saving, Water Level 10, Wash Time 27min, Rinse Times 4, Spin Time 30min, Temp. Cold & Hot",,"Australia,Fiji,New Zealand",0.39,0.0,112938,Approved,122.03,0.0,82.7,0.0,Non-Drum,,0.58558,0.0,,0.0,2023-03-14,,Single product class,Available,,http://www.samsung.com.au,122.03,0.0,82.3,0.0,82.7,0.0,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png,,ACW0662
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2015,LG,7.5,,,0,298,0,,,,0.0,False,,Dual,,China,True,,560.0,0.0,Drum,,850.0,0.0,,0.0,Yes on the warm wash program only,,Front,,,,WD1275TC5W,,AS/NZS 2040.1:2005/Amdt 3:2010,4.00461629109983,0.0,4.0,0.0,0.000199,0.0,0.44,0.0,"Cotton Eco, 40℃, 1200 spin",,"Australia,New Zealand",0.46,0.0,112940,Approved,348.0,0.0,0.0,0.0,Drum,,0.54701,0.0,600.0,0.0,2023-03-20,,Single product class,Available,,,369.0,0.0,77.0,0.0,,0.0,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png,,ACW0663
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2015,SAMSUNG ELECTRONICS,8.5,,188,0,320,0,"Cotton, Cold, Intensive,  Rinse 2, 1400 rpm",,65.6,0.0,True,,Dual,,China,True,,,0.0,Drum,,,0.0,0.4,0.0,Yes on the warm wash program only,,Front,,,,WD85N74FNOR,,AS/NZS 2040.1:2005/Amdt 3:2010,4.12298061780394,0.0,4.0,0.0,0.0001,0.0,0.48,0.0,"Cotton, 40°C, Intensive,  Rinse 2, 1400 rpm",,"Australia,Fiji,New Zealand",0.49,0.0,112989,Approved,234.0,0.0,66.0,0.0,Drum,,0.54567,0.0,,0.0,2023-03-27,,Single product class,Available,,http://www.samsung.com.au,234.0,0.0,73.0,0.0,73.0,0.0,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png,,ACW0667
AS/NZS 2040.2:2005,MIDEA,5.5,,0,0,401,0,,,0.0,0.0,False,,Dual,,China,True,,515.0,0.0,Non Drum,,930.0,0.0,0.0,0.0,No,,Top,,Impeller,,360155,,AS/NZS 2040.1:2005/Amdt 3:2010,2.39625288632262,0.0,2.0,0.0,0.8,0.0,1.53,0.0,TBC,,New Zealand,1.53,0.0,113065,Approved,64.0,0.0,0.0,0.0,Non-Drum,,70.0,0.0,525.0,0.0,2118-04-06,,Single product class,Available,http://www.tradedepot.co.nz/,,58.0,0.0,74.0,0.0,74.0,0.0,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png,,ZCW0101
AS/NZS 2040.2:2005,MIDEA,6,,0,0,544,0,,,0.0,0.0,False,,Dual,,China,True,,560.0,0.0,Non Drum,,940.0,0.0,0.0,0.0,No,,Top,,Impeller,,360160,,AS/NZS 2040.1:2005/Amdt 3:2010,1.76336547338322,0.0,1.5,0.0,0.5,0.0,1.0,0.0,tbc,,New Zealand,1.0,0.0,113193,Approved,105.0,0.0,0.0,0.0,Non-Drum,,80.35,0.0,545.0,0.0,2118-04-06,,Single product class,Available,http://www.tradedepot.co.nz/,,58.0,0.0,80.0,0.0,80.0,0.0,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1.5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.5.png,,ZCW0102
AS/NZS 2040.2:2005,MIDEA,7,,0,0,506,0,,,0.0,0.0,False,,Dual,,China,True,,565.0,0.0,Non Drum,,930.0,0.0,0.0,0.0,No,,Top,,Impeller,,360170,,AS/NZS 2040.1:2005/Amdt 3:2010,2.39520540964751,0.0,2.0,0.0,0.5,0.0,1.13,0.0,TBC,,New Zealand,1.13,0.0,113230,Approved,58.0,0.0,0.0,0.0,Non-Drum,,72.0,0.0,550.0,0.0,2118-04-06,,Single product class,Available,http://www.tradedepot.co.nz/,,58.0,0.0,99.0,0.0,99.0,0.0,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png,,ZCW0103
AS/NZS 2040.2:2005,MIDEA,8,,0,0,600,0,,,0.0,0.0,False,,Dual,,China,True,,605.0,0.0,Non Drum,,980.0,0.0,0.0,0.0,No,,Top,,Impeller,,360185,,AS/NZS 2040.1:2005/Amdt 3:2010,2.2020164519082,0.0,2.0,0.0,0.5,0.0,1.1,0.0,TBC,,New Zealand,1.1,0.0,113233,Approved,58.0,0.0,0.0,0.0,Non-Drum,,0.8,0.0,580.0,0.0,2118-04-13,,Single product class,Available,http://www.tradedepot.co.nz/,,58.0,0.0,104.0,0.0,104.0,0.0,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png,,ZCW0107
AS/NZS 2040.2:2005,MIDEA,9.5,,0,0,762,0,,,,0.0,False,,Dual,,China,True,,625.0,0.0,Non Drum,,1015.0,0.0,,0.0,No,,Top,,Impeller,,360195,,AS/NZS 2040.1:2005/Amdt 3:2010,2.11613233247114,0.0,2.0,0.0,0.5,0.0,1.1,0.0,TBC,,New Zealand,1.1,0.0,113235,Approved,58.0,0.0,0.0,0.0,Non-Drum,,0.745,0.0,601.0,0.0,2118-04-13,,Single product class,Available,http://www.tradedepot.co.nz/,,58.0,0.0,125.0,0.0,125.0,0.0,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png,,ZCW0108
AS/NZS 2040.2:2005,MIDEA,10,,,0,464,0,,,,0.0,False,,Cold,,China,True,,565.0,0.0,Drum,,850.0,0.0,,0.0,Yes on the warm wash program only,,Front,,,,360210,,AS/NZS 2040.1:2005/Amdt 3:2010,3.62044176141031,0.0,3.5,0.0,0.17,0.0,0.17,0.0,‘Cotton Eco’ with spin speed 1400 r/min.,,New Zealand,0.17,0.0,113239,Approved,200.0,0.0,0.0,0.0,Drum,,0.5703,0.0,595.0,0.0,2118-04-06,,Single product class,Available,http://www.tradedepot.co.nz/,,160.0,0.0,100.0,0.0,,0.0,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3.5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.5.png,,ZCW0104
AS/NZS 2040.2:2005,MIDEA,7.5,,0,0,360,0,,,0.0,0.0,False,,Cold,,China,True,,565.0,0.0,Drum,,850.0,0.0,0.0,0.0,Yes on the warm wash program only,,Front,,,,360279,,AS/NZS 2040.1:2005/Amdt 3:2010,3.63185441099773,0.0,3.5,0.0,0.5,0.0,0.1,0.0,TBC,,New Zealand,0.1,0.0,113274,Approved,118.0,0.0,0.0,0.0,Drum,,51.0,0.0,595.0,0.0,2118-04-06,,Single product class,Available,http://www.tradedepot.co.nz/,,118.0,0.0,77.0,0.0,77.0,0.0,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3.5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.5.png,,ZCW0105
AS/NZS 2040.2:2005,MIDEA,7,,0,0,424,0,Cotton Eco,,,0.0,True,,Cold,,China,True,,565.0,0.0,Drum,,850.0,0.0,,0.0,Yes on the warm wash program only,,Front,,,,360300,,AS/NZS 2040.1:2005/Amdt 3:2010,3.0506479110515,0.0,3.0,0.0,0.5,0.0,0.2,0.0,TBC,,New Zealand,0.2,0.0,113275,Approved,118.0,0.0,0.0,0.0,Drum,,0.5,0.0,595.0,0.0,2118-06-28,,Single product class,Available,http://www.tradedepot.co.nz/,,118.0,0.0,72.0,0.0,72.0,0.0,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.png,,ZCW0110
AS/NZS 2040.2:2005,MIDEA,10,,0,0,487,0,Cotton Eco,,,0.0,True,,Cold,,China,True,,595.0,0.0,Drum,,850.0,0.0,,0.0,Yes on the warm wash program only,,Front,,,,360310,,AS/NZS 2040.1:2005/Amdt 3:2010,3.51989634594956,0.0,3.5,0.0,0.5,0.0,0.17,0.0,TBC,,New Zealand,0.17,0.0,113276,Approved,118.0,0.0,0.0,0.0,Drum,,0.5647,0.0,595.0,0.0,2118-07-03,,Single product class,Available,http://www.tradedepot.co.nz/,,118.0,0.0,100.0,0.0,100.0,0.0,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3.5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.5.png,,ZCW0118
AS/NZS 2040.2:2005,MIDEA,7.5,,0,0,442,0,,,,0.0,True,,Cold,,China,True,,565.0,0.0,Drum,,850.0,0.0,,0.0,Yes on the warm wash program only,,Front,,,,360475,,AS/NZS 2040.1:2005/Amdt 3:2010,3.09705656307831,0.0,3.0,0.0,0.5,0.0,0.7,0.0,TBC,,New Zealand,0.5,0.0,113277,Approved,118.0,0.0,0.0,0.0,Drum,,0.53,0.0,595.0,0.0,2118-04-09,,Single product class,Available,http://www.tradedepot.co.nz/,,118.0,0.0,77.0,0.0,77.0,0.0,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.png,,ZCW0106
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2015,ASKO,8,,,0,200,0,,,,0.0,False,,Cold,,Slovenia,True,,580.0,0.0,Drum,,850.0,0.0,,0.0,Yes on both the warm and cold wash programs,,Front,,,,W6088X.S.AU,W6088X.x.AU,AS/NZS 2040.1:2005/Amdt 3:2010,5.19191403146973,0.0,5.0,0.0,8e-05,0.0,2.12,0.0,"Normal 40 degrees, 1800rpm",,"Australia,Fiji,New Zealand",0.293,0.0,113354,Approved,230.0,0.0,0.0,0.0,Drum,,0.45,0.0,595.0,0.0,2023-05-04,,Single product class,Available,http://www.gorenje.si/,http://www.asko.com.au,228.0,0.0,56.0,0.0,,0.0,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.png,,ACW0682
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2015,ASKO,8,,,0,200,0,,,,0.0,False,,Cold,,Slovenia,True,,580.0,0.0,Drum,,850.0,0.0,,0.0,Yes on both the warm and cold wash programs,,Front,,,,W6088X.W.AU,W6088X.x.AU,AS/NZS 2040.1:2005/Amdt 3:2010,5.19191403146973,0.0,5.0,0.0,8e-05,0.0,2.12,0.0,"Normal 40 degrees, 1800rpm",,"Australia,Fiji,New Zealand",0.293,0.0,113354,Approved,230.0,0.0,0.0,0.0,Drum,,0.45,0.0,595.0,0.0,2023-05-04,,Single product class,Available,http://www.gorenje.si/,http://www.asko.com.au,228.0,0.0,56.0,0.0,,0.0,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.png,,ACW0682
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2015,ASKO,8,,,0,200,0,,,,0.0,False,,Cold,,Slovenia,True,,580.0,0.0,Drum,,850.0,0.0,,0.0,Yes on both the warm and cold wash programs,,Front,,,,W6088X.x.AU,W6088X.x.AU,AS/NZS 2040.1:2005/Amdt 3:2010,5.19191403146973,0.0,5.0,0.0,8e-05,0.0,2.12,0.0,"Normal 40 degrees, 1800rpm",,"Australia,Fiji,New Zealand",0.293,0.0,113354,Approved,230.0,0.0,0.0,0.0,Drum,,0.45,0.0,595.0,0.0,2023-05-04,,Single product class,Available,http://www.gorenje.si/,http://www.asko.com.au,228.0,0.0,56.0,0.0,,0.0,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.png,,ACW0682
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2015,ASKO,10,,,0,265,0,,,,0.0,False,,Cold,,Slovenia,True,,695.0,0.0,Drum,,850.0,0.0,,0.0,Yes on both the warm and cold wash programs,,Front,,,,W6104X.W.AU,,AS/NZS 2040.1:2005/Amdt 3:2010,5.09425665257002,0.0,5.0,0.0,8e-05,0.0,2.12,0.0,"Normal 40 degrees, 1400rpm",,"Australia,Fiji,New Zealand",0.293,0.0,113357,Approved,204.0,0.0,0.0,0.0,Drum,,0.44,0.0,595.0,0.0,2023-05-04,,Single product class,Available,http://www.gorenje.si/,http://www.asko.com.au,204.0,0.0,68.2,0.0,,0.0,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.png,,ACW0680
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2015,ASKO,8,,,0,206,0,,,,0.0,False,,Cold,,Slovenia,True,,580.0,0.0,Drum,,850.0,0.0,,0.0,Yes on both the warm and cold wash programs,,Front,,,,W4086R.W.AU,,AS/NZS 2040.1:2005/Amdt 3:2010,5.0607735082047,0.0,5.0,0.0,8e-05,0.0,2.12,0.0,"Normal 40 degrees, 1600rpm",,"Australia,Fiji,New Zealand",0.293,0.0,113377,Approved,229.0,0.0,0.0,0.0,Drum,,0.47,0.0,595.0,0.0,2023-05-04,,Single product class,Available,http://www.gorenje.si/,http://www.asko.com.au,229.0,0.0,55.8,0.0,,0.0,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.png,,ACW0681
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2015,MIELE,8,,,0,245,0,,,,0.0,False,,Cold,,"Czechia,Germany",True,,636.0,0.0,Drum,,850.0,0.0,,0.0,Yes on the warm wash program only,,Front,,,,WCE 670,,AS/NZS 2040.1:2005/Amdt 3:2010,4.61316202151058,0.0,4.5,0.0,0.001,0.0,0.4,0.0,Cottons 40oC,,Australia,0.4,0.0,113530,Approved,268.0,0.0,0.0,0.0,Drum,,0.52,0.0,596.0,0.0,2023-04-10,,Single product class,Available,http://www.miele.com.au/,http://www.miele.com.au,268.0,0.0,67.0,0.0,,0.0,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png,,ACW0670
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2015,MIELE,9,,,0,235,0,,,,0.0,False,,Cold,,"Czechia,Germany",True,,636.0,0.0,Drum,,850.0,0.0,,0.0,Yes on the warm wash program only,,Front,,,,WCI 670,,AS/NZS 2040.1:2005/Amdt 3:2010,4.95714600448377,0.0,4.5,0.0,0.001,0.0,0.4,0.0,Cottons 40oC,,"Australia,New Zealand",0.4,0.0,113532,Approved,234.0,0.0,0.0,0.0,Drum,,0.5,0.0,596.0,0.0,2023-04-10,,Single product class,Available,http://www.miele.com.au/,http://www.miele.com.au,234.0,0.0,75.0,0.0,,0.0,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png,,ACW0669
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2015,MIELE,8,,,0,245,0,,,,0.0,False,,Cold,,"Germany,Czechia",True,,636.0,0.0,Drum,,850.0,0.0,,0.0,Yes on the warm wash program only,,Front,,,,WCE 330,,AS/NZS 2040.1:2005/Amdt 3:2010,4.65359073604216,0.0,4.5,0.0,0.001,0.0,0.4,0.0,Cottons 40oC,,"Australia,New Zealand",0.4,0.0,113533,Approved,266.0,0.0,0.0,0.0,Drum,,0.5,0.0,593.0,0.0,2023-04-11,,Single product class,Available,http://www.miele.com.au/,http://www.miele.com.au,266.0,0.0,67.0,0.0,,0.0,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png,,ACW0671
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2015,STIRLING,7.5,,,0,380,0,,,,0.0,False,,Cold,,China,True,,565.0,0.0,Drum,,850.0,0.0,,0.0,Yes on the warm wash program only,,Front,,,,STR-FLW75,,AS/NZS 2040.1:2005/Amdt 3:2010,3.50318763754086,0.0,3.5,0.0,0.9845,0.0,0.1,0.0,Cotton Eco,,Australia,0.1,0.0,113563,Approved,349.8,0.0,0.0,0.0,Drum,,51.8,0.0,595.0,0.0,2023-04-24,,Single product class,Available,,,349.8,0.0,77.0,0.0,,0.0,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3.5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.5.png,,ACW0673
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,MIELE,10,,,,395,,,,,,False,,Cold,,Germany,True,,,,Drum,,,,,,Yes on both the warm and cold wash programs,,Front,,,,PW 6088,,AS/NZS 2040.1:2005/Amdt 3:2010,4.0477392428929,,4.0,,0.0011357,,0.25141,,Cottons Uni 40°C,,"Australia,New Zealand",0.25141,,113735,Approved,214.6668,,0.0,,Drum,,0.53,,,,2023-05-02,,Single product class,Available,http://www.miele.com.au/,http://www.miele.com.au,215.0,,95.66,,,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png,,ACW0672
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,LG,10,,,,385,,,,,,False,,Dual,,South Korea,True,,767.0,,Drum,,982.0,,,,Yes on the warm wash program only,,,,,,WD12595D6,,AS/NZS 2040.1:2005/Amdt 3:2010,4.14038306735708,,4.0,,0.00017,,0.31,,"Cotton 40C, Intensive, 3 Rinses, Extra high spin",,"Australia,New Zealand",0.31,,113817,Approved,248.23,,0.0,,Drum,,0.51071,,686.0,,2023-06-25,,Single product class,Available,,,248.0,,102.0,,,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png,,ACW0678
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2015,LG,8,,,0,326,0,,,,0.0,False,,Dual,,China,True,,610.0,0.0,Drum,,850.0,0.0,,0.0,Yes on the warm wash program only,,Front,,,,WD1208TC4W,,AS/NZS 2040.1:2005/Amdt 3:2010,4.05007418882101,0.0,4.0,0.0,0.00019,0.0,0.45,0.0,"Cotton Eco, 40℃, 1200 spin",,"Australia,New Zealand",0.45,0.0,113866,Approved,345.0,0.0,0.0,0.0,Drum,,0.49169,0.0,600.0,0.0,2023-04-27,,Single product class,Available,,,345.0,0.0,68.0,0.0,,0.0,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png,,ACW0675
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2015,LG,7.5,,,0,375,0,,,,0.0,True,,Cold,,"China,South Korea",True,,550.0,0.0,Drum,,850.0,0.0,,0.0,Yes on the warm wash program only,,Front,,,,WD1402CRD6,,AS/NZS 2040.1:2005/Amdt 3:2010,3.5201215638081,0.0,3.5,0.0,0.00011,0.0,0.31,0.0,"Cotton Eco, 40C, Intensive, 1400RPM",,"Australia,New Zealand",0.31,0.0,113912,Approved,292.0,0.0,0.0,0.0,Drum,,0.52517,0.0,600.0,0.0,2023-04-27,,Single product class,Available,,,292.0,0.0,77.0,0.0,,0.0,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3.5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.5.png,,ACW0674
AS/NZS 2040.2:2005,MIDEA,5,,0,0,445,0,,,,0.0,True,,Cold,,China,True,,470.0,0.0,Drum,,850.0,0.0,,0.0,Yes on the warm wash program only,,Front,,,,360450,,AS/NZS 2040.1:2005/Amdt 3:2010,2.00522363184526,0.0,2.0,0.0,0.5,0.0,0.7,0.0,TBC,,New Zealand,0.5,0.0,113964,Approved,118.0,0.0,0.0,0.0,Drum,,0.5972,0.0,595.0,0.0,2118-06-28,,Single product class,Available,http://www.tradedepot.co.nz/,,118.0,0.0,61.0,0.0,61.0,0.0,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png,,ZCW0112
AS/NZS 2040.2:2005,MIDEA,6,,0,0,390,0,,,,0.0,True,,Cold,,China,True,,495.0,0.0,Drum,,850.0,0.0,,0.0,Yes on the warm wash program only,,Front,,,,360460,,AS/NZS 2040.1:2005/Amdt 3:2010,2.81528911780391,0.0,2.5,0.0,0.5,0.0,0.7,0.0,TBC,,New Zealand,0.5,0.0,113965,Approved,118.0,0.0,0.0,0.0,Drum,,0.5803,0.0,595.0,0.0,2118-06-28,,Single product class,Available,http://www.tradedepot.co.nz/,,118.0,0.0,61.0,0.0,61.0,0.0,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2.5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.5.png,,ZCW0111
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2015,Esatto,6,,,0,544,0,,,,0.0,False,,Dual,,China,True,,560.0,0.0,Non Drum,,925.0,0.0,,0.0,No,,Top,,Impeller,,ETL6.1,,AS/NZS 2040.1:2005/Amdt 3:2010,1.76322613119741,0.0,1.5,0.0,0.0,0.0,1.3,0.0,standard,,"Australia,Fiji,New Zealand",1.3,0.0,113966,Approved,87.0,0.0,0.0,0.0,Non-Drum,,0.8035,0.0,550.0,0.0,2023-06-08,,Single product class,Available,,,87.0,0.0,79.65,0.0,,0.0,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1.5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.5.png,,ACW0696
